Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.4,230,6L,6483.0,-8308.0,-7847.0
0.0,0.4,230,87L,13304.0,-8682.0,-3818.0
0.0,0.4,32,11L,9593.0,-10410.0,-5680.0
0.0,0.4,32,142L,9322.0,-10856.0,-6977.0
0.0,0.4,32,19L,11302.0,-10600.0,-5713.0
0.0,0.4,32,230L,16100.0,-10782.0,-5892.0
0.0,0.4,32,32L,10309.0,-10255.0,-5127.0
0.0,0.4,32,372L,9110.0,-10096.0,0.0
0.0,0.4,32,3L,9861.0,-9775.0,-6354.0
0.0,0.4,32,53L,13065.0,-10365.0,-7416.0
0.0,0.4,32,6L,10506.0,-9775.0,-6354.0
0.0,0.4,32,87L,13993.0,-10502.0,-6233.0
0.0,0.4,372,11L,8172.0,-8482.0,-6582.0
0.0,0.4,372,142L,8973.0,-8482.0,-4145.0
0.0,0.4,372,19L,9128.0,-8482.0,-5623.0
0.0,0.4,372,230L,9277.0,-8482.0,-3592.0
0.0,0.4,372,32L,9292.0,-8482.0,-5204.0
0.0,0.4,372,372L,9576.0,-8589.0,-2552.0
